,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
42,Fat2_8min,1,bleached,3,42,400,6.666666666666667,2.312
43,Fat2_8min,1,bleached,3,43,410,6.833333333333333,2.286
44,Fat2_8min,1,bleached,3,44,420,7.0,2.3409999999999997
45,Fat2_8min,1,bleached,3,45,430,7.166666666666667,2.227
46,Fat2_8min,1,bleached,3,46,440,7.333333333333333,2.432
47,Fat2_8min,1,bleached,3,47,450,7.5,2.271
48,Fat2_8min,1,bleached,3,48,460,7.666666666666667,2.3280000000000003
49,Fat2_8min,1,bleached,3,49,470,7.833333333333333,2.385
0,Fat2_8min,1,bleached,4,0,-20,-0.3333333333333333,8.743
1,Fat2_8min,1,bleached,4,1,-10,-0.16666666666666666,8.231
2,Fat2_8min,1,bleached,4,2,0,0.0,2.386
3,Fat2_8min,1,bleached,4,3,10,0.16666666666666666,2.6860000000000004
4,Fat2_8min,1,bleached,4,4,20,0.3333333333333333,2.469
5,Fat2_8min,1,bleached,4,5,30,0.5,3.1189999999999998
6,Fat2_8min,1,bleached,4,6,40,0.6666666666666666,4.102
7,Fat2_8min,1,bleached,4,7,50,0.8333333333333334,3.3739999999999997
8,Fat2_8min,1,bleached,4,8,60,1.0,4.21
9,Fat2_8min,1,bleached,4,9,70,1.1666666666666667,3.9189999999999996
10,Fat2_8min,1,bleached,4,10,80,1.3333333333333333,3.8789999999999996
11,Fat2_8min,1,bleached,4,11,90,1.5,3.55
12,Fat2_8min,1,bleached,4,12,100,1.6666666666666667,2.588
13,Fat2_8min,1,bleached,4,13,110,1.8333333333333333,2.76
14,Fat2_8min,1,bleached,4,14,120,2.0,2.693
15,Fat2_8min,1,bleached,4,15,130,2.1666666666666665,2.826
16,Fat2_8min,1,bleached,4,16,140,2.3333333333333335,3.1430000000000002
17,Fat2_8min,1,bleached,4,17,150,2.5,3.214
18,Fat2_8min,1,bleached,4,18,160,2.6666666666666665,3.4930000000000003
19,Fat2_8min,1,bleached,4,19,170,2.8333333333333335,2.798
20,Fat2_8min,1,bleached,4,20,180,3.0,2.367
21,Fat2_8min,1,bleached,4,21,190,3.1666666666666665,2.129
22,Fat2_8min,1,bleached,4,22,200,3.3333333333333335,2.464
23,Fat2_8min,1,bleached,4,23,210,3.5,2.279
24,Fat2_8min,1,bleached,4,24,220,3.6666666666666665,2.8569999999999998
25,Fat2_8min,1,bleached,4,25,230,3.8333333333333335,2.636
26,Fat2_8min,1,bleached,4,26,240,4.0,2.943
27,Fat2_8min,1,bleached,4,27,250,4.166666666666667,2.7760000000000002
28,Fat2_8min,1,bleached,4,28,260,4.333333333333333,2.907
29,Fat2_8min,1,bleached,4,29,270,4.5,3.0260000000000002
30,Fat2_8min,1,bleached,4,30,280,4.666666666666667,2.552
31,Fat2_8min,1,bleached,4,31,290,4.833333333333333,2.95
32,Fat2_8min,1,bleached,4,32,300,5.0,2.8480000000000003
33,Fat2_8min,1,bleached,4,33,310,5.166666666666667,2.2359999999999998
34,Fat2_8min,1,bleached,4,34,320,5.333333333333333,2.24
35,Fat2_8min,1,bleached,4,35,330,5.5,2.1519999999999997
36,Fat2_8min,1,bleached,4,36,340,5.666666666666667,2.31
37,Fat2_8min,1,bleached,4,37,350,5.833333333333333,2.448
38,Fat2_8min,1,bleached,4,38,360,6.0,2.319
39,Fat2_8min,1,bleached,4,39,370,6.166666666666667,2.371
40,Fat2_8min,1,bleached,4,40,380,6.333333333333333,2.35
41,Fat2_8min,1,bleached,4,41,390,6.5,2.245
42,Fat2_8min,1,bleached,4,42,400,6.666666666666667,2.398
43,Fat2_8min,1,bleached,4,43,410,6.833333333333333,2.66
44,Fat2_8min,1,bleached,4,44,420,7.0,2.786
