,genotype,sampleID,mean_all,mean_edges,mean_edges_noVertices,mean_vertices,mean_interiors
0,TJ_Fat23xGFP_sema5cK175,8,3.4189505910755114,5.349904072661922,4.41125020779254,6.248482530390969,2.8317057026476578
0,TJ_Fat23xGFP_sema5cK175,9,2.8300135024069513,4.500076980232815,3.683629125237734,5.691445963603914,2.3674212299689184
0,TJ_Fat23xGFP_sema5cK175,10,2.57850537993188,4.125558419542426,3.3216686668295115,5.14090258097937,2.1123701115598283
0,TJ_Fat23xGFP_sema5cK175,11,2.6976111414954294,4.456697400255957,3.537789539582266,5.6038659592728415,2.250418390264218
0,TJ_Fat23xGFP_sema5cK175,12,2.861464439261268,4.96136277738783,3.8440417441954535,6.300836667879229,2.439086881360977
0,TJ_Fat23xGFP_sema5cK175,13,2.509784690620118,4.383917466283527,3.33517187554603,5.838777805205848,1.9528524925153257
0,TJ_Fat23xGFP_sema5cK175_larRNAi,1,3.825747131487452,5.628937212409084,4.530247993724734,6.738034761266018,3.252962581666024
0,TJ_Fat23xGFP_sema5cK175_larRNAi,2,4.107153119023435,5.8786175482723175,4.88186898286394,6.847775455359808,3.5752989688746704
0,TJ_Fat23xGFP_sema5cK175_larRNAi,3,2.8108708097332182,4.3177699903410955,3.412043005369413,5.322985425789164,2.3745512593630598
0,TJ_Fat23xGFP_sema5cK175_larRNAi,4,3.8433049624324673,5.3693026107024355,4.494091086459669,6.406908787309539,3.376863976988873
0,TJ_Fat23xGFP_sema5cK175_larRNAi,5,3.940611505208476,5.712608850233753,4.9169932141833135,6.609674091157371,3.463647074528285
0,TJ_Fat23xGFP_sema5cK175_larRNAi,6,3.23773608640424,4.895928871691983,4.1236272528597935,5.730316526165103,2.7545906036703585
0,TJ_Fat23xGFP_sema5cK175_larRNAi,7,3.349491423144449,5.1269673544296746,4.2756429391123225,5.9878015898842465,2.807932939890016
0,TJ_Fat23xGFP_sema5cK175_larRNAi,8,2.988210667192849,4.496856120367876,3.5929181929181935,5.659395509499136,2.569166156461836
0,TJ_Fat23xGFP_sema5cK175_larRNAi,9,3.26628176512667,4.933367653976903,4.092977884497319,5.882820673781126,2.8076999067844697
0,TJ_Fat23xGFP_sema5cK175_larRNAi,10,4.083443063960205,6.301337989903541,5.034942748526031,7.42900452906923,3.3225377186562306
0,TJ_Fat23xGFP_sema5cK175_larRNAi,11,3.122162577029312,4.947662192173897,4.009332091090983,5.981713817138171,2.6054944264652997
0,TJ_Fat23xGFP_sema5cK175_larRNAi,12,3.15939958837443,4.9457284530739205,3.8783903662259114,6.124988510395794,2.580845091341156
0,TJ_Fat23xGFP_sema5cK175_larRNAi,13,3.9111249073566072,6.047958291506103,4.678813218340535,7.380975133473211,3.3332560826839446
