,position (um),Fat2 intensity,Abi intensity
339,23.3552,6.9301,1.129
340,23.4241,7.1817,1.2741
341,23.493,5.0534,1.047
342,23.5619,5.1856,0.674
343,23.6308,6.0682,1.1864
344,23.6997,6.0204,0.9194
345,23.7686,6.6988,0.9036
346,23.8375,4.7343,0.8406
347,23.9064,4.9724,1.0051
348,23.9753,5.0239,1.5094
349,24.0442,6.995,1.5889
350,24.1131,7.6207,1.8108
351,24.182,7.6278,2.585
352,24.2509,9.639,2.4848
353,24.3198,9.2841,2.922
354,24.3887,9.3283,3.0397
355,24.4575,8.7936,3.343
356,24.5264,10.7309,3.1499
357,24.5953,9.8026,3.0825
358,24.6642,12.045,2.4106
359,24.7331,12.5543,2.1973
360,24.802,14.0195,1.8084
361,24.8709,13.9234,1.7974
362,24.9398,13.9853,1.9626
363,25.0087,9.9441,1.6526
364,25.0776,8.6832,2.1025
365,25.1465,5.5127,1.7408
366,25.2154,5.4956,1.3081
367,25.2843,5.9347,1.6057
368,25.3532,6.8295,1.7389
369,25.4221,9.8678,1.4686
370,25.491,12.1326,1.335
371,25.5599,12.9691,1.3857
372,25.6288,11.3825,1.9344
373,25.6976,8.8826,1.8437
374,25.7665,6.5375,1.9915
375,25.8354,6.4425,1.5118
376,25.9043,6.0024,1.2927
377,25.9732,9.3994,1.4814
378,26.0421,13.0686,1.344
379,26.111,20.3522,2.0762
380,26.1799,25.1397,2.0913
381,26.2488,24.8076,1.8802
382,26.3177,21.1631,1.8143
383,26.3866,16.2065,1.8228
384,26.4555,14.8347,1.6023
385,26.5244,11.0476,1.8282
386,26.5933,8.9893,1.8799
387,26.6622,10.123,1.7866
388,26.7311,9.5975,1.3952
389,26.8,7.9615,0.789
390,26.8689,6.7305,1.1037
391,26.9377,8.7686,1.77
392,27.0066,11.2169,1.6676
393,27.0755,15.1077,1.6271
394,27.1444,19.249,1.7341
395,27.2133,19.8111,2.7468
396,27.2822,21.2934,2.6849
397,27.3511,28.139,3.1531
398,27.42,32.0417,3.0452
