,position (um),Sema5c intensity,Abi intensity
1212,22.8041,12.8842,4.4011
1213,22.873,13.1316,4.2738
1214,22.9419,8.7996,4.5
1215,23.0108,9.9254,4.7075
1216,23.0797,11.1796,4.3405
1217,23.1486,11.2621,4.3492
1218,23.2174,15.8979,4.4619
1219,23.2863,21.4028,4.6911
1220,23.3552,25.6518,5.4328
1221,23.4241,33.3076,6.6823
1222,23.493,36.3371,5.2601
1223,23.5619,30.7564,4.6049
1224,23.6308,29.3419,5.7926
1225,23.6997,25.6079,6.4041
1226,23.7686,23.3108,5.1948
1227,23.8375,23.7493,4.8793
1228,23.9064,23.7899,4.8573
1229,23.9753,19.7382,5.4209
1230,24.0442,16.6757,4.7127
1231,24.1131,13.6192,4.1256
1232,24.182,11.9043,3.9562
1233,24.2509,13.0964,3.7077
1234,24.3198,12.1549,3.8194
1235,24.3887,9.4369,3.8199
1236,24.4575,10.7915,3.5734
1237,24.5264,11.091,4.8662
1238,24.5953,12.7002,5.1096
1239,24.6642,19.2862,5.9113
1240,24.7331,24.7168,5.9105
1241,24.802,30.1058,6.5838
1242,24.8709,30.397,6.827
1243,24.9398,24.0321,6.5896
1244,25.0087,19.0669,7.608
1245,25.0776,17.1737,9.0487
1246,25.1465,18.7609,9.6883
1247,25.2154,24.0124,10.2257
1248,25.2843,25.1758,9.5557
1249,25.3532,27.8682,8.2135
1250,25.4221,30.0488,6.7503
1251,25.491,23.1688,6.877
1252,25.5599,13.9884,6.6822
1253,25.6288,12.0861,6.1574
1254,25.6976,9.6634,6.3748
1255,25.7665,8.4275,5.9032
1256,25.8354,8.3342,5.5606
1257,25.9043,8.7743,5.4222
1258,25.9732,7.3819,6.0935
1259,26.0421,5.9132,4.5636
1260,26.111,5.7982,3.3329
1261,26.1799,7.5386,3.3654
1262,26.2488,8.8622,4.2852
1263,26.3177,10.7859,3.5874
1264,26.3866,9.2074,3.5645
1265,26.4555,10.7639,3.7028
1266,26.5244,12.0116,5.245
1267,26.5933,12.9042,4.1495
1268,26.6622,14.5145,3.5216
1269,26.7311,11.3628,3.8175
1270,26.8,10.2057,3.5244
1271,26.8689,7.4222,3.1978
