,position (um),Ecad intensity,Abi intensity
331,22.8041,16.3093,1.2332
332,22.873,15.4147,1.54089
333,22.9419,18.0573,1.38948
334,23.0108,15.5914,1.35854
335,23.0797,13.3194,1.68451
336,23.1486,11.8941,1.07163
337,23.2174,8.5828,0.61887
338,23.2863,8.8325,0.60448
339,23.3552,9.7994,0.61235
340,23.4241,9.0784,0.55807
341,23.493,9.7933,0.72568
342,23.5619,12.7944,0.88861
343,23.6308,11.9835,0.62466
344,23.6997,18.7275,0.59592
345,23.7686,18.2489,0.6864
346,23.8375,15.3051,0.81295
347,23.9064,13.6237,0.27827
348,23.9753,13.2098,0.50562
349,24.0442,14.7786,0.26267
350,24.1131,13.9563,0.32927
351,24.182,12.921,0.77137
352,24.2509,13.6313,1.16474
353,24.3198,13.9499,1.20321
354,24.3887,14.6015,1.03678
355,24.4575,12.6856,1.02591
356,24.5264,11.9542,0.98839
357,24.5953,9.626,0.60209
358,24.6642,9.6294,0.80185
359,24.7331,9.9369,0.66153
360,24.802,12.5093,0.93165
361,24.8709,13.671,0.93087
362,24.9398,12.2779,1.30175
363,25.0087,14.9826,1.44355
364,25.0776,14.2876,1.97987
365,25.1465,16.1639,2.51955
366,25.2154,19.786,2.54416
367,25.2843,18.8213,3.02396
368,25.3532,17.0424,4.1313
369,25.4221,18.6275,4.1292
370,25.491,22.9819,4.21261
371,25.5599,14.8807,4.09992
372,25.6288,18.1807,3.37242
373,25.6976,19.4485,3.21649
374,25.7665,24.6972,3.30872
375,25.8354,28.3616,4.69325
376,25.9043,25.5999,4.32863
377,25.9732,24.7135,3.66776
378,26.0421,19.8299,3.18576
379,26.111,13.1303,2.8305
380,26.1799,10.8683,2.13791
381,26.2488,9.7811,1.97401
382,26.3177,10.8165,1.35518
383,26.3866,11.3973,0.93323
384,26.4555,12.9552,1.16432
385,26.5244,14.4653,1.39453
386,26.5933,10.1652,1.02607
387,26.6622,8.3798,0.37423
388,26.7311,6.7532,0.32842
389,26.8,7.825,0.38282
390,26.8689,6.6191,0.6575
391,26.9377,8.5884,0.41038
392,27.0066,6.9494,0.63999
393,27.0755,6.3466,1.15952
394,27.1444,7.3094,1.30569
395,27.2133,7.1091,1.9764
396,27.2822,8.3829,1.8426
397,27.3511,8.5501,1.94588
398,27.42,8.4439,2.64949
399,27.4889,8.8123,2.12172
400,27.5578,8.5602,2.93325
401,27.6267,10.64,1.91788
402,27.6956,10.9301,1.45953
403,27.7645,10.8385,1.31041
404,27.8334,9.3829,1.22454
405,27.9023,7.9995,1.39337
406,27.9712,7.0526,1.02145
407,28.0401,6.2651,0.76645
408,28.109,5.7226,1.21068
409,28.1778,5.2715,1.67189
410,28.2467,3.9914,1.59072
411,28.3156,4.8328,1.0136
412,28.3845,4.5303,1.49318
413,28.4534,3.9505,1.40684
414,28.5223,4.4489,1.12175
415,28.5912,4.6212,1.50288
416,28.6601,6.1499,1.517
417,28.729,9.5415,1.74494
418,28.7979,9.082,1.86923
419,28.8668,11.2294,1.39829
420,28.9357,15.0055,1.34756
421,29.0046,16.0763,1.61116
422,29.0735,16.4656,1.33614
423,29.1424,16.3611,1.7783
424,29.2113,13.6296,1.71861
425,29.2802,11.3447,1.67927
426,29.3491,10.8287,2.31185
427,29.4179,13.488,1.7907
428,29.4868,12.3738,2.22134
429,29.5557,10.8879,2.33442
430,29.6246,13.7549,1.96915
431,29.6935,14.2607,1.87542
432,29.7624,17.5498,1.25139
433,29.8313,19.0735,1.81465
434,29.9002,21.3117,1.71242
435,29.9691,22.4483,1.8709
436,30.038,23.5385,1.70531
437,30.1069,28.9159,2.02915
438,30.1758,28.418,2.49646
439,30.2447,26.1692,2.52966
440,30.3136,23.7848,2.08992
441,30.3825,20.6124,1.07095
442,30.4514,19.5153,0.59213
443,30.5203,16.6986,0.76798
444,30.5892,16.9783,0.82338
445,30.6581,14.7817,1.15923
