,position (um),Lar intensity,Abi intensity
425,29.2802,6.8102,4.6175
426,29.3491,6.7736,4.8835
427,29.4179,9.2507,4.6395
428,29.4868,9.9384,4.7148
429,29.5557,10.971,4.1595
430,29.6246,15.2143,5.6102
431,29.6935,22.2896,6.3415
432,29.7624,30.9038,6.5906
433,29.8313,35.562,7.1376
434,29.9002,30.2817,7.5126
435,29.9691,30.8561,6.6662
436,30.038,29.4249,7.1535
437,30.1069,36.4216,7.8196
438,30.1758,46.1123,8.192
439,30.2447,51.4058,9.7621
440,30.3136,55.2808,9.9584
441,30.3825,52.5037,10.9453
442,30.4514,42.3175,9.0511
443,30.5203,36.9701,8.8498
444,30.5892,38.8164,6.9309
445,30.6581,32.5506,6.7722
446,30.7269,21.4748,6.4845
447,30.7958,18.8073,4.6849
448,30.8647,22.0586,3.6696
449,30.9336,25.3734,5.094
450,31.0025,34.2259,5.8476
451,31.0714,37.4783,6.5098
452,31.1403,35.051,5.8966
453,31.2092,23.8106,4.5699
454,31.2781,11.7934,3.62
455,31.347,8.6946,3.559
456,31.4159,7.7803,3.2319
457,31.4848,7.7664,3.1458
458,31.5537,10.1789,2.84
459,31.6226,11.4946,3.2928
460,31.6915,13.2248,3.6056
461,31.7604,15.3194,4.0982
462,31.8293,11.6726,4.2688
463,31.8982,13.7936,3.9142
464,31.967,15.1333,3.4596
465,32.0359,13.9514,3.9784
466,32.1048,16.4004,3.4593
467,32.1737,15.4361,4.2691
468,32.2426,13.8732,4.0386
469,32.3115,16.9227,3.9844
470,32.3804,13.1047,5.2599
471,32.4493,10.1858,4.8256
472,32.5182,11.0137,4.1022
473,32.5871,10.4764,3.1797
474,32.656,9.4286,4.0105
475,32.7249,8.2252,4.6163
476,32.7938,9.7922,3.8883
477,32.8627,8.6979,3.8413
478,32.9316,10.045,4.7928
479,33.0005,9.6305,4.4762
480,33.0694,10.9118,5.452
481,33.1383,12.8737,5.1467
482,33.2071,13.4054,4.0256
483,33.276,14.2954,4.5256
484,33.3449,14.9958,4.9127
485,33.4138,18.9783,5.6747
486,33.4827,21.9013,5.1306
487,33.5516,25.226,6.7919
488,33.6205,31.2246,6.9696
489,33.6894,34.4088,7.0337
490,33.7583,29.2685,6.0627
491,33.8272,32.4767,6.7135
492,33.8961,40.2492,8.0535
493,33.965,53.8639,8.4454
494,34.0339,57.6347,8.9332
495,34.1028,64.9178,8.868
496,34.1717,72.8228,11.0814
497,34.2406,74.7162,12.1754
498,34.3095,70.1215,11.7103
499,34.3784,54.2062,11.0794
500,34.4472,42.1252,8.993
501,34.5161,34.1264,8.3001
502,34.585,31.1855,7.9287
503,34.6539,25.6866,7.3064
504,34.7228,22.9158,6.7128
505,34.7917,23.9341,7.81
506,34.8606,24.1521,7.2537
507,34.9295,21.3797,8.5734
508,34.9984,18.3068,6.5668
509,35.0673,18.3433,5.2946
510,35.1362,18.8381,3.3504
511,35.2051,15.0,3.3288
512,35.274,13.1711,2.7918
513,35.3429,10.1377,2.4139
514,35.4118,8.6285,2.5245
515,35.4807,9.8727,2.9107
516,35.5496,13.98,4.1381
517,35.6185,20.4537,6.4469
518,35.6873,29.5038,7.445
519,35.7562,29.0964,9.7702
520,35.8251,35.4945,10.7204
521,35.894,31.6592,8.8048
522,35.9629,23.8794,7.6269
523,36.0318,19.1718,6.0697
524,36.1007,19.1457,4.6554
525,36.1696,16.6733,4.9409
526,36.2385,14.5794,4.8186
527,36.3074,13.7653,4.8363
528,36.3763,10.6637,4.933
529,36.4452,8.5205,5.2489
530,36.5141,7.369,5.353
531,36.583,7.8214,4.8158
532,36.6519,9.7795,4.2168
533,36.7208,10.9107,3.9734
534,36.7897,12.3942,4.0381
535,36.8586,11.1224,3.9423
536,36.9274,12.6538,4.6932
537,36.9963,12.7118,4.5673
538,37.0652,11.3778,5.0233
539,37.1341,9.1417,4.2831
540,37.203,7.8851,4.347
541,37.2719,9.978,5.1892
542,37.3408,12.5125,3.518
543,37.4097,14.0587,4.2121
544,37.4786,23.2923,5.2868
545,37.5475,26.7304,5.503
546,37.6164,24.7336,5.6531
547,37.6853,30.2764,5.5361
548,37.7542,26.7358,5.2354
549,37.8231,19.4149,5.7619
550,37.892,18.7838,6.4102
551,37.9609,22.7307,6.6162
552,38.0298,19.5336,6.0958
553,38.0987,14.6895,4.6161
554,38.1675,8.7561,3.2525
555,38.2364,5.3477,3.0258
556,38.3053,5.1293,3.9574
557,38.3742,4.9915,2.9123
558,38.4431,7.5242,2.5292
559,38.512,8.75,3.7575
560,38.5809,12.2113,4.0967
561,38.6498,9.3636,4.2822
562,38.7187,8.2435,3.6029
563,38.7876,5.5795,2.9222
564,38.8565,9.2537,3.1214
565,38.9254,9.5811,2.752
566,38.9943,9.9241,3.2003
567,39.0632,10.9259,3.9388
568,39.1321,12.6578,5.6947
569,39.201,20.9415,5.4892
570,39.2699,27.9603,7.2402
571,39.3388,45.1943,8.2101
572,39.4076,56.2955,8.8613
573,39.4765,48.2521,8.9273
574,39.5454,41.1197,7.8805
575,39.6143,33.1517,6.6052
576,39.6832,29.3351,5.8712
577,39.7521,29.3686,6.0517
578,39.821,32.2472,6.1868
579,39.8899,33.538,6.3173
580,39.9588,32.1574,6.1531
581,40.0277,18.6637,5.2168
582,40.0966,16.3583,3.7715
583,40.1655,14.7325,3.4966
584,40.2344,15.9507,4.2768
585,40.3033,15.9458,4.0834
586,40.3722,19.3587,4.2937
587,40.4411,26.6578,5.2908
588,40.51,35.856,5.9099
589,40.5789,34.6031,5.1333
590,40.6478,27.9922,3.7614
591,40.7166,20.0841,2.551
592,40.7855,12.3783,2.509
593,40.8544,15.5175,3.2764
594,40.9233,15.8076,4.009
595,40.9922,18.8239,5.2242
596,41.0611,25.4604,6.2532
597,41.13,26.6857,7.3008
598,41.1989,25.5171,5.9851
599,41.2678,24.3812,6.3664
600,41.3367,19.8173,5.1824
601,41.4056,12.7439,4.0224
602,41.4745,9.756,4.0593
603,41.5434,9.301,4.1716
604,41.6123,10.1401,3.7717
605,41.6812,10.7739,3.7611
606,41.7501,9.8318,3.253
607,41.819,7.4174,2.8141
608,41.8879,6.39,2.7811
609,41.9567,8.4588,3.7823
610,42.0256,9.958,4.2625
611,42.0945,14.358,4.5304
612,42.1634,19.6824,4.7662
613,42.2323,25.2456,4.4343
614,42.3012,21.8186,4.8224
615,42.3701,18.2156,5.7208
616,42.439,19.1616,3.7012
617,42.5079,22.2348,4.1013
618,42.5768,27.311,3.9841
619,42.6457,32.3739,4.8238
620,42.7146,41.2398,5.5085
621,42.7835,39.7542,5.6645
622,42.8524,31.2792,4.6412
623,42.9213,21.3818,4.8629
624,42.9902,15.9462,4.7792
625,43.0591,16.3289,4.2148
626,43.128,21.1998,4.5477
627,43.1968,26.5754,4.7702
628,43.2657,32.9264,6.3195
629,43.3346,38.9907,7.9168
630,43.4035,44.1151,9.6993
631,43.4724,49.485,9.7978
632,43.5413,50.4236,9.2672
633,43.6102,56.6809,10.5796
634,43.6791,54.8194,11.0189
635,43.748,45.1916,10.0447
636,43.8169,32.3893,9.2451
637,43.8858,21.4405,7.3914
638,43.9547,15.1284,5.4693
639,44.0236,15.505,5.0011
640,44.0925,16.7444,4.0673
641,44.1614,20.0895,4.1437
642,44.2303,17.9762,4.347
643,44.2992,18.4668,5.5049
644,44.3681,11.5124,4.9977
645,44.437,8.5242,4.7335
646,44.5058,5.9172,4.0084
647,44.5747,5.3041,4.0247
648,44.6436,4.9096,3.66
649,44.7125,3.1634,4.1198
650,44.7814,3.7233,3.6361
651,44.8503,5.673,4.5806
652,44.9192,8.0973,4.3337
653,44.9881,10.6739,3.802
654,45.057,12.4297,3.7843
655,45.1259,14.2033,4.388
656,45.1948,14.2691,4.5523
657,45.2637,11.4051,3.4191
658,45.3326,10.032,3.6553
659,45.4015,8.9123,4.202
660,45.4704,9.4424,3.4452
661,45.5393,9.0611,2.8056
662,45.6082,10.157,2.7481
663,45.6771,11.9264,3.4656
664,45.7459,13.7192,4.4484
665,45.8148,15.5971,5.3819
666,45.8837,14.3514,5.2432
667,45.9526,17.5526,5.4528
668,46.0215,22.6591,5.7417
669,46.0904,30.6713,7.2094
670,46.1593,34.8376,9.5191
671,46.2282,40.6535,11.0353
672,46.2971,44.8061,11.8162
673,46.366,44.4802,10.8233
674,46.4349,43.0533,10.6231
675,46.5038,39.9452,11.4989
676,46.5727,41.3275,10.3706
677,46.6416,46.8115,9.8334
678,46.7105,57.7381,13.0985
679,46.7794,68.1443,15.4777
680,46.8483,72.7647,16.476
681,46.9172,72.2974,14.6987
682,46.986,61.3588,13.7027
683,47.0549,47.8354,11.9936
684,47.1238,37.583,11.6556
685,47.1927,34.5254,9.8778
686,47.2616,29.1789,7.3741
687,47.3305,22.1615,6.3027
688,47.3994,18.1529,5.6977
689,47.4683,15.8356,5.429
690,47.5372,16.3458,6.265
691,47.6061,17.2879,5.8661
692,47.675,18.1596,5.2408
693,47.7439,21.2015,6.5026
694,47.8128,22.6166,5.301
695,47.8817,25.962,5.9213
696,47.9506,28.3539,6.6625
697,48.0195,24.6987,6.0132
698,48.0884,20.4382,6.2179
699,48.1573,21.2926,7.2046
700,48.2261,26.7005,7.6322
701,48.295,35.6792,8.8454
702,48.3639,40.238,9.894
703,48.4328,38.9072,9.4639
704,48.5017,22.1481,6.6226
705,48.5706,20.1278,5.5107
706,48.6395,21.6602,5.7011
707,48.7084,21.2709,5.7137
708,48.7773,19.1437,4.8654
709,48.8462,14.1329,4.1748
710,48.9151,11.2413,3.4905
711,48.984,8.5303,3.2792
712,49.0529,8.8775,2.4316
713,49.1218,10.171,2.6464
714,49.1907,12.1345,3.1018
715,49.2596,14.0491,4.4166
716,49.3285,13.2456,4.5913
717,49.3974,14.3863,4.0294
718,49.4662,10.9135,3.6743
719,49.5351,14.5503,2.7186
720,49.604,18.999,3.4681
721,49.6729,23.2328,3.1111
722,49.7418,24.4587,2.9219
723,49.8107,20.8855,3.6439
724,49.8796,14.6181,4.0708
725,49.9485,10.439,3.84
726,50.0174,8.7877,3.5156
727,50.0863,8.1049,5.1369
728,50.1552,7.0259,5.9041
729,50.2241,6.7056,4.444
730,50.293,10.9979,5.2597
731,50.3619,16.729,6.1261
732,50.4308,19.0345,6.3664
733,50.4997,18.2054,6.2863
734,50.5686,14.9934,6.386
735,50.6375,10.0936,4.7067
736,50.7063,6.3745,4.0056
737,50.7752,3.5788,2.3946
738,50.8441,2.3949,1.9741
739,50.913,1.7421,2.3223
740,50.9819,2.9758,3.1576
741,51.0508,1.7306,2.4893
742,51.1197,1.8468,1.9452
743,51.1886,2.7657,2.0948
744,51.2575,2.7429,1.9947
745,51.3264,2.8696,2.8981
746,51.3953,2.5829,2.0282
747,51.4642,3.2252,2.1772
748,51.5331,4.7198,2.2734
749,51.602,5.6955,2.2268
750,51.6709,6.3204,2.0764
751,51.7398,5.0801,1.8631
752,51.8087,3.9611,2.2124
753,51.8776,3.5409,2.2456
754,51.9464,5.1023,2.4007
755,52.0153,6.1937,3.2919
756,52.0842,6.3033,3.1963
757,52.1531,7.2008,3.9314
758,52.222,6.7891,3.7394
759,52.2909,9.0011,4.628
760,52.3598,10.9963,4.9761
761,52.4287,11.1339,5.7062
762,52.4976,16.0909,7.519
763,52.5665,21.0798,8.2284
764,52.6354,25.4547,9.7117
765,52.7043,38.209,13.075
766,52.7732,60.7415,20.1151
767,52.8421,73.7892,22.1826
768,52.911,58.6905,20.058
769,52.9799,45.0852,16.2095
770,53.0488,32.4985,13.7404
771,53.1177,27.3357,12.2458
772,53.1866,23.3651,9.9312
773,53.2554,20.8949,9.5341
774,53.3243,16.5132,7.6081
775,53.3932,16.467,6.1098
776,53.4621,15.8117,6.6283
777,53.531,16.4874,5.48
778,53.5999,13.233,5.5573
779,53.6688,11.172,6.0381
780,53.7377,8.8041,5.5628
781,53.8066,7.9387,4.8956
782,53.8755,7.6921,4.4373
783,53.9444,10.5419,3.8311
784,54.0133,15.9403,4.1104
785,54.0822,21.4908,5.49
786,54.1511,20.3612,6.208
787,54.22,20.6322,6.3094
788,54.2889,23.1131,7.3267
789,54.3578,20.4679,7.9628
790,54.4267,24.3612,8.5437
791,54.4955,25.1689,8.0416
792,54.5644,29.5571,8.7054
793,54.6333,37.9893,11.8046
794,54.7022,35.6031,10.8543
795,54.7711,34.8994,8.2911
796,54.84,27.0917,6.9984
797,54.9089,25.3503,5.7069
798,54.9778,28.1786,4.9068
799,55.0467,33.9411,5.2138
800,55.1156,40.8253,5.9185
801,55.1845,47.732,7.2251
802,55.2534,44.3834,7.9356
803,55.3223,31.6586,7.8391
804,55.3912,22.6964,6.5886
805,55.4601,11.9843,5.1073
806,55.529,6.1336,4.4988
807,55.5979,4.1359,3.7597
808,55.6668,5.3038,5.1706
809,55.7356,6.6521,5.2344
810,55.8045,9.8062,5.3029
811,55.8734,12.5934,5.6535
812,55.9423,12.6772,5.6585
813,56.0112,9.9962,5.3516
814,56.0801,10.5436,4.9795
815,56.149,18.121,5.3486
816,56.2179,20.0356,6.5642
817,56.2868,21.7698,7.7556
818,56.3557,20.4264,9.0966
819,56.4246,20.7113,8.1007
820,56.4935,24.8443,7.5389
821,56.5624,32.256,6.6858
822,56.6313,33.9491,6.7749
823,56.7002,37.7458,8.8035
824,56.7691,36.0547,10.5797
825,56.838,38.8734,10.4334
826,56.9069,41.2086,11.0819
827,56.9757,44.5427,11.651
828,57.0446,45.5299,11.5587
829,57.1135,42.3934,10.5781
830,57.1824,39.5499,8.6565
831,57.2513,39.489,9.1709
832,57.3202,40.4129,7.9976
833,57.3891,40.876,6.9828
